Last login: Mon May  6 19:31:25 on ttys002
  281 ??         0:11.36 /System/Library/PrivateFrameworks/TCC.framework/Resour
  282 ??         0:32.82 /usr/libexec/pkd
  283 ??         1:33.84 /System/Library/Frameworks/ApplicationServices.framewo
  284 ??         0:23.71 /System/Library/PrivateFrameworks/ViewBridge.framework
  285 ??         0:03.77 /usr/sbin/spindump
  287 ??         2:10.33 /System/Library/CoreServices/SubmitDiagInfo server-ini
  289 ??         0:01.52 /usr/sbin/WirelessRadioManagerd
  290 ??         0:10.85 /System/Library/PrivateFrameworks/TelephonyUtilities.f
  292 ??         0:05.37 /System/Library/PrivateFrameworks/CloudDocsDaemon.fram
  293 ??         0:04.28 /System/Library/PrivateFrameworks/IDS.framework/identi
  294 ??         0:54.58 /System/Library/Frameworks/Accounts.framework/Versions
  295 ??         1:04.15 /usr/libexec/nsurlsessiond
  296 ??         0:02.23 /System/Library/PrivateFrameworks/IMCore.framework/ima
  297 ??         0:00.81 /System/Library/PrivateFrameworks/IMDPersistence.frame
  298 ??         0:02.68 /System/Library/Frameworks/AddressBook.framework/Execu
  299 ??         0:14.40 /usr/libexec/secinitd
  300 ??         0:10.18 /System/Library/Frameworks/Security.framework/Versions
  301 ??         0:01.86 /usr/sbin/filecoordinationd
  302 ??         0:13.29 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  303 ??         0:02.72 /usr/sbin/wirelessproxd
  304 ??         0:06.46 /usr/libexec/rapportd
  305 ??         0:00.07 /System/Library/CoreServices/CrashReporterSupportHelpe
  306 ??         0:00.12 /System/Library/Frameworks/CryptoTokenKit.framework/ct
  307 ??         0:01.00 /System/Library/CoreServices/backgroundtaskmanagementa
  308 ??         1:09.23 /Applications/CleanMyMac X.app/Contents/MacOS/CleanMyM
  309 ??         0:00.13 /System/Library/Frameworks/CryptoTokenKit.framework/ct
  311 ??         0:05.32 /usr/sbin/usernoted
  313 ??         0:00.09 /System/Library/Frameworks/CryptoTokenKit.framework/ct
  314 ??         0:10.58 /System/Library/PrivateFrameworks/UserActivity.framewo
  315 ??         0:06.99 /System/Library/CoreServices/Dock.app/Contents/XPCServ
  317 ??         0:07.49 /Users/voduc/Library/Application Support/TenorshareSer
  318 ??         0:00.56 /usr/libexec/taskgated
  321 ??         0:14.23 /System/Library/CoreServices/Spotlight.app/Contents/Ma
  322 ??         0:04.70 /Applications/BetterZip.app/Contents/PlugIns/FinderSyn
  323 ??         0:04.64 /System/Library/Frameworks/ApplicationServices.framewo
  324 ??         0:38.19 /usr/libexec/sharingd
  325 ??         0:30.76 /System/Library/CoreServices/NotificationCenter.app/Co
  326 ??         0:23.21 /System/Library/PrivateFrameworks/CalendarAgent.framew
  327 ??         0:07.68 /System/Library/PrivateFrameworks/MessagesKit.framewor
  328 ??         0:23.12 /System/Library/PrivateFrameworks/HomeKitDaemon.framew
  330 ??         0:07.80 /System/Library/PrivateFrameworks/CoreParsec.framework
  331 ??         0:07.26 /System/Library/PrivateFrameworks/FileProvider.framewo
  336 ??         0:02.62 /usr/libexec/fmfd
  337 ??         0:00.86 /System/Library/PrivateFrameworks/CallHistory.framewor
  338 ??         0:07.94 /System/Library/PrivateFrameworks/CoreWLANKit.framewor
  339 ??         0:03.28 /System/Library/Frameworks/InputMethodKit.framework/Re
  340 ??         0:05.18 /System/Library/PrivateFrameworks/CalendarNotification
  341 ??         0:10.69 /System/Library/PrivateFrameworks/CommerceKit.framewor
  342 ??         0:07.07 /System/Library/PrivateFrameworks/GeoServices.framewor
  343 ??         0:00.02 /System/Library/PrivateFrameworks/login.framework/Vers
  345 ??         0:03.16 /usr/sbin/systemsoundserverd
  346 ??         0:00.32 /System/Library/PrivateFrameworks/CommerceKit.framewor
  347 ??         0:10.75 /System/Library/Input Methods/PressAndHold.app/Content
  353 ??         0:00.12 /System/Library/CoreServices/NotificationCenter.app/Co
  357 ??         0:05.54 /System/Library/CoreServices/CoreLocationAgent.app/Con
  358 ??         0:08.19 /System/Library/PrivateFrameworks/AmbientDisplay.frame
  371 ??         0:01.85 /usr/libexec/findmydeviced
  372 ??         0:00.28 /usr/libexec/networkserviceproxy
  374 ??         5:29.26 /System/Library/CoreServices/WiFiAgent.app/Contents/Ma
  377 ??         0:00.07 /System/Library/CoreServices/APFSUserAgent
  379 ??         0:00.80 /System/Library/PrivateFrameworks/CloudDocsDaemon.fram
  384 ??         0:01.23 /System/Library/PrivateFrameworks/WeatherKit.framework
  385 ??         0:56.53 /usr/libexec/nsurlstoraged
  389 ??         0:00.15 /System/Library/PrivateFrameworks/FamilyCircle.framewo
  391 ??         0:03.19 /System/Library/PrivateFrameworks/GeoServices.framewor
  392 ??         0:00.55 /usr/libexec/secinitd
  393 ??         0:01.27 /usr/sbin/cfprefsd agent
  394 ??         0:01.20 /usr/libexec/trustd --agent
  395 ??         0:00.61 /usr/libexec/swcd
  396 ??         0:09.40 /System/Library/PrivateFrameworks/AssistantServices.fr
  399 ??         0:00.46 /System/Library/Frameworks/ApplicationServices.framewo
  400 ??         0:04.54 /System/Library/CoreServices/FolderActionsDispatcher.a
  403 ??         0:11.96 /System/Library/CoreServices/LocationMenu.app/Contents
  405 ??         0:00.02 SafeEjectGPUAgent
  406 ??         0:00.10 /System/Library/CoreServices/Menu Extras/SafeEjectGPUE
